Protein,Centrality
ANXA1,0.12903225806451613
WDR19,0.11290322580645161
CD34,0.0967741935483871
VKORC1,0.08064516129032258
RBM28,0.06451612903225806
TMED2,0.06451612903225806
SENP7,0.06451612903225806
RPS12,0.06451612903225806
TSPAN13,0.06451612903225806
PURB,0.06451612903225806
RBM10,0.04838709677419355
UBR1,0.04838709677419355
TARDBP,0.04838709677419355
BRIX1,0.04838709677419355
TPR,0.04838709677419355
CCAR1,0.04838709677419355
ZNF652,0.04838709677419355
CBX8,0.04838709677419355
RPS15A,0.04838709677419355
YY1,0.04838709677419355
ZFAND3,0.04838709677419355
SLC39A7,0.04838709677419355
ATP8B1,0.04838709677419355
ARHGAP45,0.04838709677419355
RHOT2,0.04838709677419355
UHRF1BP1,0.03225806451612903
C10orf35,0.03225806451612903
SIVA1,0.03225806451612903
TM9SF2,0.03225806451612903
CD8A,0.03225806451612903
CECR1,0.03225806451612903
ATP5G2,0.03225806451612903
B4GAT1,0.016129032258064516
CMPK2,0.016129032258064516
AKAP17A,0.016129032258064516
RDH10,0.016129032258064516
CDKL1,0.016129032258064516
SCAF8,0.016129032258064516
MYLK4,0.016129032258064516
ZYG11B,0.016129032258064516
COMP,0.016129032258064516
CLEC11A,0.016129032258064516
BLOC1S3,0.016129032258064516
ANO10,0.016129032258064516
SFXN2,0.016129032258064516
WDR36,0.016129032258064516
PROM1,0.016129032258064516
RARS,0.016129032258064516
WDR26,0.016129032258064516
YPEL5,0.016129032258064516
ZNF655,0.016129032258064516
USP15,0.016129032258064516
VPS39,0.016129032258064516
TPPP2,0.016129032258064516
BIN3,0.016129032258064516
SNRNP48,0.016129032258064516
SNX3,0.016129032258064516
SYNPO2,0.016129032258064516
PRELP,0.016129032258064516
UTP11,0.016129032258064516
RPL30,0.016129032258064516
RPL37A,0.016129032258064516
PSMC5,0.016129032258064516
